model,instruction_type,condition,replicate,budget,k,provider,model_id,role,run_id,presentation_seed,status,ok,stop_reason,input_tokens,output_tokens,error
gpt_terra,basic,k_fixed,19,fixed,15,openai,gpt-5.6-terra,primary,run_049,2075,success,TRUE,completed,3626,1213,NA
gpt_terra,basic,k_fixed,20,fixed,15,openai,gpt-5.6-terra,primary,run_050,2076,success,TRUE,completed,3626,1184,NA
gpt_terra,basic,k_fixed,21,fixed,15,openai,gpt-5.6-terra,primary,run_051,2077,success,TRUE,completed,3626,1007,NA
gpt_terra,basic,k_fixed,22,fixed,15,openai,gpt-5.6-terra,primary,run_052,2078,success,TRUE,completed,3626,1164,NA
gpt_terra,basic,k_fixed,23,fixed,15,openai,gpt-5.6-terra,primary,run_053,2079,success,TRUE,completed,3626,1183,NA
gpt_terra,basic,k_fixed,24,fixed,15,openai,gpt-5.6-terra,primary,run_054,2080,success,TRUE,completed,3626,1228,NA
gpt_terra,basic,k_fixed,25,fixed,15,openai,gpt-5.6-terra,primary,run_055,2081,success,TRUE,completed,3626,994,NA
gpt_terra,basic,k_fixed,26,fixed,15,openai,gpt-5.6-terra,primary,run_056,2082,success,TRUE,completed,3626,979,NA
gpt_terra,basic,k_fixed,27,fixed,15,openai,gpt-5.6-terra,primary,run_057,2083,success,TRUE,completed,3626,1050,NA
gpt_terra,basic,k_fixed,28,fixed,15,openai,gpt-5.6-terra,primary,run_058,2084,success,TRUE,completed,3626,1248,NA
gpt_terra,basic,k_fixed,29,fixed,15,openai,gpt-5.6-terra,primary,run_059,2085,success,TRUE,completed,3626,1143,NA
gpt_terra,basic,k_fixed,30,fixed,15,openai,gpt-5.6-terra,primary,run_060,2086,success,TRUE,completed,3626,1136,NA
gpt_terra,quality,k_free,1,free,NA,openai,gpt-5.6-terra,primary,run_061,2087,success,TRUE,completed,3688,1228,NA
gpt_terra,quality,k_free,2,free,NA,openai,gpt-5.6-terra,primary,run_062,2088,success,TRUE,completed,3688,1330,NA
gpt_terra,quality,k_free,3,free,NA,openai,gpt-5.6-terra,primary,run_063,2089,success,TRUE,completed,3688,1307,NA
gpt_terra,quality,k_free,4,free,NA,openai,gpt-5.6-terra,primary,run_064,2090,success,TRUE,completed,3688,1136,NA
gpt_terra,quality,k_free,5,free,NA,openai,gpt-5.6-terra,primary,run_065,2091,success,TRUE,completed,3688,1316,NA
